Area name,Qualification Level,GDP per capita,Percentage of Qualification
Sandwell,No qualification,21518,28.9
Sandwell,Level 1 Qualification,27543,11.5
Sandwell,Level 4 or Higher,33234,22.7
Blaenau Gwent,No qualification,17360,27.9
Blaenau Gwent,Level 1 Qualification,23523,10.8
Blaenau Gwent,Level 4 or Higher,26953,21.6
Boston,No qualification,23758,27.6
Boston,Level 1 Qualification,28593,12.7
Boston,Level 4 or Higher,31645,19
Merthyr Tydfil,No qualification,20536,26.9
Merthyr Tydfil,Level 1 Qualification,24544,9.6
Merthyr Tydfil,Level 4 or Higher,34145,25
Leicester,No qualification,28448,26.7
Leicester,Level 1 Qualification,29343,10.7
Leicester,Level 4 or Higher,44044,26.8
Castle Point,No qualification,12564,23.9
Castle Point,Level 1 Qualification,16609,13.6
Castle Point,Level 4 or Higher,28583,18.5
Harlow,No qualification,20453,21
Harlow,Level 1 Qualification,26748,13.4
Harlow,Level 4 or Higher,33565,24.4
Crawley,No qualification,33223,17.8
Crawley,Level 1 Qualification,39853,13.3
Crawley,Level 4 or Higher,55234,27.5
Basildon,No qualification,25332,20.7
Basildon,Level 1 Qualification,29820,13.1
Basildon,Level 4 or Higher,35823,17.3
Swindon,No qualification,24554,13
Swindon,Level 1 Qualification,29557,27.9
Swindon,Level 4 or Higher,34567,28.9
City of London,No qualification,39345,6.6
City of London,Level 1 Qualification,42445,2.8
City of London,Level 4 or Higher,915251,74.2
Wandsworth,No qualification,30448,9.9
Wandsworth,Level 1 Qualification,44733,4.7
Wandsworth,Level 4 or Higher,55883,62.6
Richmond upon Thames,No qualification,40455,9.1
Richmond upon Thames,Level 1 Qualification,55867,5
Richmond upon Thames,Level 4 or Higher,66376,60.4
Kensington and Chelsea,No qualification,40023,11.4
Kensington and Chelsea,Level 1 Qualification,43945,4.4
Kensington and Chelsea,Level 4 or Higher,77613,59.5
Westminster,No qualification,45666,12.9
Westminster,Level 1 Qualification,38953,4.9
Westminster,Level 4 or Higher,435304,57.7
